#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421196.856023, 4391558.22234, 3765.79749444, None, None, None, 421196.856023, 4391558.22234, 3765.79749444, 421196.856023, 4391558.22234, 3765.79749444, 0, 0, 0
421198.021245, 4391559.59768, 3765, None, None, None, 421198.021245, 4391559.59768, 3765, 421198.021245, 4391559.59768, 3765, 0, 0, 0
421199.397059, 4391561.22159, 3763.74449756, None, None, None, 421199.397059, 4391561.22159, 3763.74449756, 421199.397059, 4391561.22159, 3763.74449756, 0, 0, 0
421202.404556, 4391564.77142, 3761, None, None, None, 421202.404556, 4391564.77142, 3761, 421202.404556, 4391564.77142, 3761, 0, 0, 0
421204.951702, 4391567.77789, 3758.67559562, None, None, None, 421204.951702, 4391567.77789, 3758.67559562, 421204.951702, 4391567.77789, 3758.67559562, 0, 0, 0
421205.397162, 4391568.30368, 3758.32411458, None, None, None, 421205.397162, 4391568.30368, 3758.32411458, 421205.397162, 4391568.30368, 3758.32411458, 0, 0, 0
421206.787866, 4391569.94517, 3757.2268079, None, None, None, 421206.787866, 4391569.94517, 3757.2268079, 421206.787866, 4391569.94517, 3757.2268079, 0, 0, 0
421208.955883, 4391572.50414, 3755.51617855, None, None, None, 421208.955883, 4391572.50414, 3755.51617855, 421208.955883, 4391572.50414, 3755.51617855, 0, 0, 0
421211.171177, 4391575.11891, 3753.30473856, None, None, None, 421211.171177, 4391575.11891, 3753.30473856, 421211.171177, 4391575.11891, 3753.30473856, 0, 0, 0
421213.047381, 4391577.33345, 3751.00376432, None, None, None, 421213.047381, 4391577.33345, 3751.00376432, 421213.047381, 4391577.33345, 3751.00376432, 0, 0, 0
421215.554487, 4391580.29265, 3747.9290534, None, None, None, 421215.554487, 4391580.29265, 3747.9290534, 421215.554487, 4391580.29265, 3747.9290534, 0, 0, 0
421217.969757, 4391583.14346, 3744.96697016, None, None, None, 421217.969757, 4391583.14346, 3744.96697016, 421217.969757, 4391583.14346, 3744.96697016, 0, 0, 0
421218.514706, 4391583.78668, 3744.29864525, None, None, None, 421218.514706, 4391583.78668, 3744.29864525, 421218.514706, 4391583.78668, 3744.29864525, 0, 0, 0
421219.937798, 4391585.4664, 3743, None, None, None, 421219.937798, 4391585.4664, 3743, 421219.937798, 4391585.4664, 3743, 0, 0, 0
421221.14306, 4391586.889, 3741.90013503, None, None, None, 421221.14306, 4391586.889, 3741.90013503, 421221.14306, 4391586.889, 3741.90013503, 0, 0, 0
421224.321108, 4391590.64014, 3737.8223169, None, None, None, 421224.321108, 4391590.64014, 3737.8223169, 421224.321108, 4391590.64014, 3737.8223169, 0, 0, 0
421228.07353, 4391595.06923, 3733.86357865, None, None, None, 421228.07353, 4391595.06923, 3733.86357865, 421228.07353, 4391595.06923, 3733.86357865, 0, 0, 0
421228.704419, 4391595.81388, 3733.13200137, None, None, None, 421228.704419, 4391595.81388, 3733.13200137, 421228.704419, 4391595.81388, 3733.13200137, 0, 0, 0
421229.238739, 4391596.44456, 3732.51240474, None, None, None, 421229.238739, 4391596.44456, 3732.51240474, 421229.238739, 4391596.44456, 3732.51240474, 0, 0, 0
421230.542352, 4391597.98325, 3731.48381546, None, None, None, 421230.542352, 4391597.98325, 3731.48381546, 421230.542352, 4391597.98325, 3731.48381546, 0, 0, 0
421233.087729, 4391600.98763, 3729.4754376, None, None, None, 421233.087729, 4391600.98763, 3729.4754376, 421233.087729, 4391600.98763, 3729.4754376, 0, 0, 0
421237.334418, 4391606.00011, 3726.12467444, None, None, None, 421237.334418, 4391606.00011, 3726.12467444, 421237.334418, 4391606.00011, 3726.12467444, 0, 0, 0
421237.47104, 4391606.16137, 3726.01687588, None, None, None, 421237.47104, 4391606.16137, 3726.01687588, 421237.47104, 4391606.16137, 3726.01687588, 0, 0, 0
421237.632354, 4391606.35177, 3725.85279295, None, None, None, 421237.632354, 4391606.35177, 3725.85279295, 421237.632354, 4391606.35177, 3725.85279295, 0, 0, 0
421241.854351, 4391611.33512, 3722, None, None, None, 421241.854351, 4391611.33512, 3722, 421241.854351, 4391611.33512, 3722, 0, 0, 0
421243.114947, 4391612.82303, 3721.13722957, None, None, None, 421243.114947, 4391612.82303, 3721.13722957, 421243.114947, 4391612.82303, 3721.13722957, 0, 0, 0
421244.874316, 4391615.55567, 3719.72713801, None, None, None, 421244.874316, 4391615.55567, 3719.72713801, 421244.874316, 4391615.55567, 3719.72713801, 0, 0, 0
421245.781564, 4391616.9648, 3719, None, None, None, 421245.781564, 4391616.9648, 3719, 421245.781564, 4391616.9648, 3719, 0, 0, 0
421247.191177, 4391619.1542, 3717.87022918, None, None, None, 421247.191177, 4391619.1542, 3717.87022918, 421247.191177, 4391619.1542, 3717.87022918, 0, 0, 0
421249.524658, 4391622.77854, 3716, None, None, None, 421249.524658, 4391622.77854, 3716, 421249.524658, 4391622.77854, 3716, 0, 0, 0
